Date,Open,High,Low,Close
2018.01.02 00:01,112.503,112.594,112.503,112.594
2018.01.02 00:02,112.594,112.594,112.593,112.593
2018.01.02 00:03,112.593,112.607,112.586,112.604
2018.01.02 00:04,112.599,112.599,112.564,112.568
2018.01.02 00:05,112.564,112.603,112.564,112.594
2018.01.02 00:06,112.594,112.624,112.594,112.6
2018.01.02 00:07,112.6,112.622,112.599,112.6
2018.01.02 00:08,112.6,112.621,112.595,112.595
2018.01.02 00:09,112.614,112.622,112.594,112.612
2018.01.02 00:10,112.612,112.616,112.591,112.6
2018.01.02 00:11,112.6,112.613,112.598,112.6
2018.01.02 00:12,112.6,112.612,112.599,112.602
2018.01.02 00:13,112.602,112.615,112.597,112.615
2018.01.02 00:14,112.615,112.615,112.602,112.615
2018.01.02 00:15,112.615,112.646,112.594,112.646
2018.01.02 00:16,112.646,112.653,112.619,112.624
2018.01.02 00:17,112.624,112.658,112.613,112.648
2018.01.02 00:18,112.646,112.675,112.616,112.661
2018.01.02 00:19,112.662,112.663,112.661,112.663
2018.01.02 00:20,112.663,112.663,112.618,112.618
2018.01.02 00:21,112.618,112.618,112.603,112.603
2018.01.02 00:22,112.603,112.62,112.603,112.619
2018.01.02 00:23,112.619,112.626,112.6,112.621
2018.01.02 00:24,112.621,112.628,112.591,112.623
2018.01.02 00:25,112.62,112.648,112.595,112.6
2018.01.02 00:26,112.6,112.639,112.596,112.6
2018.01.02 00:27,112.6,112.641,112.597,112.597
2018.01.02 00:28,112.597,112.639,112.59,112.606
2018.01.02 00:29,112.606,112.623,112.597,112.597
2018.01.02 00:30,112.597,112.597,112.588,112.588
2018.01.02 00:31,112.588,112.59,112.588,112.59
2018.01.02 00:32,112.59,112.592,112.579,112.59
2018.01.02 00:33,112.59,112.59,112.589,112.589
2018.01.02 00:34,112.589,112.592,112.577,112.589
2018.01.02 00:35,112.589,112.593,112.587,112.593
2018.01.02 00:36,112.593,112.593,112.565,112.592
2018.01.02 00:37,112.592,112.593,112.592,112.593
2018.01.02 00:38,112.593,112.599,112.577,112.594
2018.01.02 00:39,112.594,112.594,112.582,112.585
2018.01.02 00:40,112.584,112.597,112.584,112.596
2018.01.02 00:41,112.596,112.596,112.595,112.596
2018.01.02 00:42,112.596,112.596,112.594,112.595
2018.01.02 00:43,112.595,112.598,112.595,112.598
2018.01.02 00:44,112.598,112.603,112.598,112.602
2018.01.02 00:45,112.602,112.602,112.594,112.596
2018.01.02 00:46,112.596,112.598,112.596,112.596
2018.01.02 00:47,112.596,112.598,112.582,112.582
2018.01.02 00:48,112.582,112.586,112.582,112.584
2018.01.02 00:49,112.584,112.586,112.584,112.586
2018.01.02 00:50,112.586,112.587,112.584,112.584
2018.01.02 00:51,112.584,112.585,112.583,112.584
2018.01.02 00:52,112.584,112.585,112.583,112.584
2018.01.02 00:53,112.584,112.587,112.583,112.587
2018.01.02 00:54,112.587,112.587,112.584,112.586
2018.01.02 00:55,112.586,112.587,112.585,112.586
2018.01.02 00:56,112.586,112.587,112.585,112.587
2018.01.02 00:57,112.587,112.589,112.586,112.589
2018.01.02 00:58,112.589,112.589,112.584,112.586
2018.01.02 00:59,112.586,112.586,112.584,112.585
2018.01.02 01:00,112.585,112.596,112.585,112.593
2018.01.02 01:01,112.593,112.603,112.591,112.596
2018.01.02 01:02,112.596,112.602,112.594,112.596
2018.01.02 01:03,112.596,112.648,112.596,112.638
2018.01.02 01:04,112.638,112.663,112.637,112.663
2018.01.02 01:05,112.663,112.668,112.638,112.66
2018.01.02 01:06,112.66,112.676,112.638,112.659
2018.01.02 01:07,112.659,112.665,112.644,112.65
2018.01.02 01:08,112.65,112.675,112.643,112.664
2018.01.02 01:09,112.664,112.675,112.645,112.649
2018.01.02 01:10,112.649,112.655,112.624,112.631
2018.01.02 01:11,112.631,112.648,112.622,112.644
2018.01.02 01:12,112.644,112.65,112.633,112.643
2018.01.02 01:13,112.644,112.662,112.639,112.641
2018.01.02 01:14,112.642,112.651,112.64,112.643
2018.01.02 01:15,112.643,112.648,112.637,112.647
2018.01.02 01:16,112.647,112.656,112.646,112.646
2018.01.02 01:17,112.646,112.655,112.643,112.645
2018.01.02 01:18,112.645,112.654,112.645,112.653
2018.01.02 01:19,112.653,112.654,112.644,112.647
2018.01.02 01:20,112.647,112.652,112.644,112.651
2018.01.02 01:21,112.651,112.656,112.65,112.656
2018.01.02 01:22,112.656,112.656,112.653,112.656
2018.01.02 01:23,112.655,112.679,112.645,112.679
2018.01.02 01:24,112.679,112.688,112.679,112.688
2018.01.02 01:25,112.688,112.698,112.685,112.685
2018.01.02 01:26,112.685,112.696,112.68,112.693
2018.01.02 01:27,112.693,112.734,112.687,112.731
2018.01.02 01:28,112.731,112.735,112.722,112.735
2018.01.02 01:29,112.735,112.736,112.731,112.735
2018.01.02 01:30,112.735,112.737,112.726,112.728
2018.01.02 01:31,112.728,112.728,112.719,112.719
2018.01.02 01:32,112.719,112.722,112.717,112.72
2018.01.02 01:33,112.72,112.722,112.716,112.721
2018.01.02 01:34,112.721,112.725,112.715,112.715
2018.01.02 01:35,112.715,112.72,112.714,112.714
2018.01.02 01:36,112.714,112.731,112.714,112.73
2018.01.02 01:37,112.729,112.743,112.729,112.736
2018.01.02 01:38,112.737,112.744,112.734,112.735
2018.01.02 01:39,112.736,112.738,112.723,112.731
2018.01.02 01:40,112.732,112.736,112.731,112.731
2018.01.02 01:41,112.731,112.742,112.731,112.733
2018.01.02 01:42,112.733,112.741,112.733,112.74
2018.01.02 01:43,112.74,112.758,112.74,112.757
2018.01.02 01:44,112.758,112.772,112.757,112.77
2018.01.02 01:45,112.77,112.775,112.766,112.768
2018.01.02 01:46,112.768,112.777,112.762,112.769
2018.01.02 01:47,112.769,112.779,112.764,112.776
2018.01.02 01:48,112.775,112.778,112.775,112.778
2018.01.02 01:49,112.777,112.778,112.771,112.772
2018.01.02 01:50,112.772,112.773,112.769,112.77
2018.01.02 01:51,112.77,112.771,112.762,112.763
2018.01.02 01:52,112.763,112.764,112.762,112.763
2018.01.02 01:53,112.763,112.763,112.762,112.762
2018.01.02 01:54,112.762,112.778,112.762,112.775
2018.01.02 01:55,112.775,112.775,112.773,112.775
2018.01.02 01:56,112.774,112.775,112.767,112.768
2018.01.02 01:57,112.768,112.774,112.762,112.763
2018.01.02 01:58,112.763,112.766,112.761,112.763
2018.01.02 01:59,112.763,112.765,112.762,112.763
2018.01.02 02:00,112.763,112.767,112.748,112.759
2018.01.02 02:01,112.76,112.762,112.758,112.761
2018.01.02 02:02,112.761,112.764,112.752,112.752
2018.01.02 02:03,112.752,112.757,112.752,112.756
2018.01.02 02:04,112.755,112.758,112.751,112.753
2018.01.02 02:05,112.752,112.761,112.751,112.751
2018.01.02 02:06,112.751,112.752,112.74,112.742
2018.01.02 02:07,112.742,112.749,112.737,112.743
2018.01.02 02:08,112.743,112.744,112.738,112.742
2018.01.02 02:09,112.742,112.744,112.741,112.743
2018.01.02 02:10,112.743,112.75,112.743,112.745
2018.01.02 02:11,112.744,112.751,112.743,112.75
2018.01.02 02:12,112.75,112.75,112.742,112.744
2018.01.02 02:13,112.744,112.745,112.736,112.736
2018.01.02 02:14,112.736,112.736,112.731,112.732
2018.01.02 02:15,112.732,112.733,112.73,112.731
2018.01.02 02:16,112.731,112.733,112.731,112.732
2018.01.02 02:17,112.732,112.75,112.732,112.75
2018.01.02 02:18,112.751,112.751,112.742,112.742
2018.01.02 02:19,112.742,112.761,112.74,112.76
2018.01.02 02:20,112.76,112.765,112.752,112.762
2018.01.02 02:21,112.762,112.784,112.759,112.776
2018.01.02 02:22,112.776,112.776,112.764,112.766
2018.01.02 02:23,112.766,112.767,112.758,112.76
2018.01.02 02:24,112.76,112.765,112.756,112.757
2018.01.02 02:25,112.757,112.759,112.745,112.746
2018.01.02 02:26,112.746,112.746,112.738,112.743
2018.01.02 02:27,112.743,112.743,112.734,112.738
2018.01.02 02:28,112.738,112.745,112.738,112.745
2018.01.02 02:29,112.745,112.751,112.74,112.745
2018.01.02 02:30,112.745,112.745,112.724,112.724
2018.01.02 02:31,112.724,112.725,112.718,112.718
2018.01.02 02:32,112.718,112.72,112.713,112.719
2018.01.02 02:33,112.719,112.725,112.719,112.72
2018.01.02 02:34,112.72,112.723,112.718,112.723
2018.01.02 02:35,112.723,112.73,112.722,112.73
2018.01.02 02:36,112.729,112.731,112.729,112.73
2018.01.02 02:37,112.73,112.735,112.73,112.731
2018.01.02 02:38,112.731,112.738,112.731,112.737
2018.01.02 02:39,112.737,112.742,112.736,112.738
2018.01.02 02:40,112.738,112.745,112.737,112.743
2018.01.02 02:41,112.743,112.752,112.743,112.75
2018.01.02 02:42,112.75,112.751,112.744,112.744
2018.01.02 02:43,112.744,112.755,112.742,112.753
2018.01.02 02:44,112.753,112.758,112.753,112.754
2018.01.02 02:45,112.754,112.759,112.75,112.756
2018.01.02 02:46,112.756,112.758,112.754,112.757
